新车价,保值率,全款,表显里程,排量,登记证为准,轴距,最大马力,最大扭矩,主/副驾驶安全气囊,前/后排侧气囊,前/后排头部气囊,胎压检测,车内中控锁,儿童座椅接口,无钥匙启动,防抱死系统,车身稳定控制,电动天窗,全景天窗,电动吸合门,感应后备箱,感应雨刷,后雨刷,前/后电动车窗,后视镜电动调节,后视镜加热,多功能方向盘,定速巡航,后排独立空调,自动空调,GPS导航,倒车雷达,倒车影像系统,真皮座椅,前/后排座椅加热,32项 排除重大事故,18项 排除泡水火烧,11项 调表排查,36项 底盘悬架项,22项 轻微碰撞,25项 易损耗部件,14项 安全系统,33项 外部配置,42项 内部配置,10项 灯光系统,2项 高科技配置,4项 随车工具,9项 仪表台指示灯,5项 发动机状态,5项 变速箱及转向,缺陷项检测,漆面修复检测,钣金修复检测,外观件更换检测,使用时间,年检,交强险,紧凑型车,紧凑型SUV,中型车,小型车,中型SUV,小型SUV,MPV,中大型车,中大型SUV,微型车,微面,轻客,大型车,跑车,皮卡,国五,国四,国六,国三,自动,自然吸气,涡轮增压,机械增压,机械+涡轮增压,双涡轮增压,汽油,插电式混合动力,油电混合,柴油,汽油+48V轻混系统,92号,95号,0号,多点电喷,直喷,混合喷射,前置前驱,前置四驱,前置后驱,后置后驱,双电机四驱,中置后驱,电动助力,机械液压助力,电子液压助力,液压助力,盘式,鼓式,通风盘式,手刹,电子驻车,脚刹,长,宽,高,上汽大众,上汽通用别克,一汽-大众,长安福特,北京现代,东风日产,东风悦达起亚,广汽本田,北京奔驰,长城汽车,东风本田,一汽-大众奥迪,华晨宝马,上汽通用雪佛兰,广汽丰田,东风标致,一汽丰田,长安汽车,上汽集团,宝马(进口),吉利汽车,上汽斯柯达,上汽通用五菱,长安马自达,江淮汽车,比亚迪,奔驰(进口),东风雪铁龙,大众(进口),一汽奔腾,广汽菲克Jeep,一汽马自达,上汽通用凯迪拉克,奇瑞汽车,雷克萨斯,广汽乘用车,陆风汽车,长安铃木,Jeep(进口),众泰汽车,英菲尼迪(进口),smart,沃尔沃(进口),东风裕隆,斯巴鲁,东南汽车,奇瑞捷豹路虎,福特(进口),东风乘用车,东风小康,郑州日产,MINI,观致汽车,东风启辰,奥迪(进口),起亚(进口),华晨中华,北京汽车,一汽海马,江铃福特,长安沃尔沃,广汽菲克菲亚特,东风风行,路虎(进口),沃尔沃亚太,海马汽车,领克,天津一汽,梅赛德斯-AMG,广汽三菱,东风英菲尼迪,庆铃汽车,华晨雷诺,华晨金杯,标致(进口),野马汽车,猎豹汽车,双龙汽车,比速汽车,捷豹,长安标致雪铁龙,保时捷,宝沃汽车,北汽昌河,欧宝,林肯
0.14976221,0.47986093,0.18308552,0.43850806,0.2195122,1.43E-09,0.81720114,0.29508197,0.37947494,1,0.5,1,1,1,1,1.00E-08,1,1,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1,1,1,1,1,1,1.00E-08,1,1.00E-08,1,0.5,1.67E-09,2.50E-09,1.67E-09,2.50E-09,1.43E-09,1.25E-09,5.00E-09,8.33E-10,1.25E-09,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,3.45E-10,0.33333334,0.18181819,1.43E-09,0.41666666,0.575,0.4,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.80406654,0.5939525,0.18594594,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.22764482,0.19093484,0.1394052,0.625504,0.5121951,0.14285715,0.81720114,0.59016395,0.522673,1,0.5,1,1,1,1,1,1,1,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1,1,1,1,1,1,1,1,1,1,1,1.67E-09,2.50E-09,1.67E-09,2.50E-09,1.43E-09,1.25E-09,5.00E-09,8.33E-10,1.25E-09,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,0.20689656,0.055555556,0.09090909,0.42857143,0.725,0.25,4.00E-10,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.80406654,0.5939525,0.18594594,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.14126451,0.2990041,0.111524165,0.8346774,0.12195122,0.14285715,0.81720114,0.2,0.3078759,1,0.5,1,1,1,1,1.00E-08,1,1,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1,1,1.00E-08,1,1,1,1.00E-08,1,1.00E-08,1,0.5,1.67E-09,0.25,0.33333334,0.25,1.43E-09,0.25,5.00E-09,0.5,0.125,2.50E-09,1,1,1.00E-08,0.33333334,1,0.20689656,0.33333334,0.27272728,1.43E-09,0.725,0.025,4.00E-10,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.80406654,0.5939525,0.18594594,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.30139548,0.3380537,0.2881041,0.17288306,0.2682927,1.43E-09,0.7868805,0.4622951,0.61813843,1,0.5,1,1,1,1,1.00E-08,1,1,1,1,1.00E-08,1.00E-08,1,1,1,1,1,1,1,1.00E-08,1,1,1,1,1.00E-08,0.5,1.67E-09,2.50E-09,1.67E-09,2.50E-09,1.43E-09,1.25E-09,5.00E-09,0.16666667,1.25E-09,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,3.45E-10,5.56E-10,9.09E-10,0.14285715,0.5083333,0.3,4.00E-10,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.6495379,0.52915764,0.18594594,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.19209479,0.35373133,0.18327138,0.50302416,0.2195122,0.42857143,0.7906706,0.29508197,0.37947494,1,0.5,1,1,1,1,1,1,1,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1,1,1,1,1.00E-08,1,1,1,1,1,0.5,1.67E-09,0.25,0.16666667,0.25,1.43E-09,0.25,5.00E-09,0.5,1.25E-09,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,3.45E-10,0.5,0.27272728,1.43E-09,0.64166665,0.025,4.00E-10,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.7826248,0.63930887,0.12648648,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.31901455,0.3417085,0.3085502,0.4516129,0.2682927,0.14285715,0.851312,0.57377046,0.61813843,1,0.5,1,1,1,1,1.00E-08,1,1,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1,1,1,1,1.00E-08,1,1.00E-08,1,1.00E-08,1,1.00E-08,0.16666667,2.50E-09,1.67E-09,2.50E-09,1.43E-09,0.375,5.00E-09,0.16666667,1.25E-09,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,0.06896552,5.56E-10,0.45454547,0.14285715,0.5,0.325,4.00E-10,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1,1.00E-08,1.00E-08,0.7537893,0.5442765,0.16756757,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.23520696,0.5776438,0.34349442,0.09929436,0.2682927,0.5714286,0.7868805,0.3737705,0.4988067,1,0.5,1,1,1,1,1.00E-08,1,1,1,1,1.00E-08,1.00E-08,1,1,1,1,1,1,1,1.00E-08,1,1,1,1,1.00E-08,0.5,1.67E-09,2.50E-09,1.67E-09,2.50E-09,0.2857143,1.25E-09,5.00E-09,0.083333336,1.25E-09,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,3.45E-10,0.16666667,0.27272728,0.14285715,0.31666666,0.275,4.00E-10,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.6417745,0.52915764,0.25405404,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.29492474,0.18839277,0.18773235,0.27721775,0.2682927,0.14285715,0.75918365,0.32786885,0.45107397,1,0.5,1,1,1,1,1.00E-08,1,1,1,1,1.00E-08,1.00E-08,1,1,1,1,1,1,1,1.00E-08,1,1,1,1,1,0.5,1.67E-09,2.50E-09,1.67E-09,2.50E-09,1.43E-09,1.25E-09,5.00E-09,8.33E-10,1.25E-09,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,0.03448276,5.56E-10,9.09E-10,1.43E-09,0.7416667,0.025,4.00E-10,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.6425139,0.5399568,0.43567568,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.19209479,0.3985328,0.20260222,0.45362902,0.2195122,0.14285715,0.7906706,0.29508197,0.37947494,1,0.5,1,1,1,1,1,1,1,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1,1,1,1,1.00E-08,1,1,1,1,1,0.5,1.67E-09,2.50E-09,0.16666667,2.50E-09,1.43E-09,0.25,5.00E-09,8.33E-10,0.125,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,0.5862069,0.6666667,0.09090909,1.43E-09,0.475,0.4,0.12,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.7826248,0.63930887,0.12648648,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
0.16161221,0.31210518,0.13568774,0.5766129,0.2195122,0.14285715,0.81982505,0.29508197,0.37947494,1,0.5,1.00E-08,1,1,1,1.00E-08,1,1,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1,1,1,1,1.00E-08,1,1.00E-08,1,1.00E-08,1,0.5,1.67E-09,2.50E-09,1.67E-09,2.50E-09,1.43E-09,1.25E-09,5.00E-09,8.33E-10,1.25E-09,2.50E-09,1,1,1.00E-08,3.33E-09,1.00E-08,3.45E-10,0.16666667,0.6363636,1.43E-09,0.6333333,0.025,4.00E-10,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1,1.00E-08,0.80221814,0.5637149,0.1891892,1.00E-08,1.00E-08,1,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
